"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_api3","testcases","2026-07-08","passed","2026-07-08","TestAPI2","test_api","",""
"","0","test_api1","testcases","2026-07-08","passed","2026-07-08","TestAPI","test_api","",""
"测试加法功能","0","test_add[-1-1-0]","testcases","2026-07-08","passed","2026-07-08","TestCalculator","test_calculator","",""
"测试加法功能","0","test_add[2-3-5]","testcases","2026-07-08","passed","2026-07-08","TestCalculator","test_calculator","",""
"","0","test_api1","testcases","2026-07-08","passed","2026-07-08","TestAPI","test_user","",""
"测试加法功能","0","test_add[100-200-300]","testcases","2026-07-08","passed","2026-07-08","TestCalculator","test_calculator","",""
"测试加法功能","0","test_add[10-20-30]","testcases","2026-07-08","passed","2026-07-08","TestCalculator","test_calculator","",""
"","0","test_api4","testcases","2026-07-08","passed","2026-07-08","TestAPI2","test_user","",""
"","0","test_indirect[b]","testcases","2026-07-08","passed","2026-07-08","","test_33","",""
"","0","test_api4","testcases","2026-07-08","passed","2026-07-08","TestAPI2","test_api","",""
"测试减法功能","0","test_sub[5-2-3]","testcases","2026-07-08","passed","2026-07-08","TestCalculator","test_calculator","",""
"测试加法功能","0","test_add[1000-2000-3000]","testcases","2026-07-08","passed","2026-07-08","TestCalculator","test_calculator","",""
"测试减法功能","1","test_sub[10-5-5]","testcases","2026-07-08","passed","2026-07-08","TestCalculator","test_calculator","",""
"","0","test_api3","testcases","2026-07-08","passed","2026-07-08","TestAPI2","test_user","",""
"测试减法功能","0","test_sub[-1--1-0]","testcases","2026-07-08","passed","2026-07-08","TestCalculator","test_calculator","",""
"测试加法功能","0","test_add[0-0-0]","testcases","2026-07-08","passed","2026-07-08","TestCalculator","test_calculator","",""
"","0","test_api2","testcases","2026-07-08","passed","2026-07-08","TestAPI","test_api","",""
"测试减法功能","1","test_sub[100-50-50]","testcases","2026-07-08","passed","2026-07-08","TestCalculator","test_calculator","",""
"","1","test_indirect[a]","testcases","2026-07-08","passed","2026-07-08","","test_33","",""
"","0","test_api2","testcases","2026-07-08","passed","2026-07-08","TestAPI","test_user","",""
"测试减法功能","0","test_sub[0-0-0]","testcases","2026-07-08","passed","2026-07-08","TestCalculator","test_calculator","",""
